"id","file_name","file_hash","status","error_message","process_time_ms","created_at"
51,"2024090083.pdf",e793d5ac62820187a79724afb655479d,success,,54121,"2025-11-11 16:15:47"
52,"2024100092.pdf",ce64371db2d36c5aab12200421c228d0,processing,,0,"2025-11-11 16:15:47"
53,"2024100092.pdf",ce64371db2d36c5aab12200421c228d0,success,,22231,"2025-11-11 16:16:09"
54,"2024110096.pdf",ab5a54cb8e01e03b09e37c8593b05fa1,processing,,0,"2025-11-11 16:16:09"
55,"2024110096.pdf",ab5a54cb8e01e03b09e37c8593b05fa1,success,,36954,"2025-11-11 16:16:46"
56,"2024110100.pdf",dc80c9abb375adabb2e4393bffee5ee7,processing,,0,"2025-11-11 16:17:06"
57,"2024110100.pdf",dc80c9abb375adabb2e4393bffee5ee7,success,,42563,"2025-11-11 16:17:49"
58,"2024120106.pdf","3aa5f2a5c87c70c5554437868278b409",processing,,0,"2025-11-11 16:17:49"
59,"2024120106.pdf","3aa5f2a5c87c70c5554437868278b409",success,,41896,"2025-11-11 16:18:31"
60,G鎖-FMEA.pdf,bdec58ec7050c183f25d40c72eb99fd1,processing,,0,"2025-11-11 16:18:31"
61,G鎖-FMEA.pdf,bdec58ec7050c183f25d40c72eb99fd1,success,,32,"2025-11-11 16:18:31"
62,G鎖-客訴資料.pdf,"14bd619597d15bb67736ac2d2bb66b61",processing,,0,"2025-11-11 16:18:51"
63,G鎖-客訴資料.pdf,"14bd619597d15bb67736ac2d2bb66b61",success,,63738,"2025-11-11 16:19:55"
64,G鎖-設變單通知單-2.pdf,"4aaba5a3f02340689babb7b14ee65a5e",processing,,0,"2025-11-11 16:19:55"
65,G鎖-設變單通知單-2.pdf,"4aaba5a3f02340689babb7b14ee65a5e",success,,4450,"2025-11-11 16:19:59"
66,G鎖-設變單通知單-3.pdf,"6bf770b90da0b8a628832417c986ac6b",processing,,0,"2025-11-11 16:19:59"
67,G鎖-設變單通知單-3.pdf,"6bf770b90da0b8a628832417c986ac6b",success,,6418,"2025-11-11 16:20:05"
68,G鎖-設變單通知單-4.pdf,a5377430df38c25638fc085aecac5396,processing,,0,"2025-11-11 16:20:25"
69,G鎖-設變單通知單-4.pdf,a5377430df38c25638fc085aecac5396,success,,27114,"2025-11-11 16:20:53"
70,G鎖-設變單通知單.pdf,"6a26a308c7e2cc71ff36a3085db99b7f",processing,,0,"2025-11-11 16:20:53"
71,G鎖-設變單通知單.pdf,"6a26a308c7e2cc71ff36a3085db99b7f",success,,7842,"2025-11-11 16:21:00"
72,G鎖-設變申請單-2.pdf,"6d9be5e45272d95f03119a3d749e8cdd",processing,,0,"2025-11-11 16:21:00"
73,G鎖-設變申請單-2.pdf,"6d9be5e45272d95f03119a3d749e8cdd",success,,19828,"2025-11-11 16:21:20"
74,G鎖-設變申請單-3.pdf,a28d93bc4030c9affa7ed94e60c1505d,processing,,0,"2025-11-11 16:21:40"
75,G鎖-設變申請單-3.pdf,a28d93bc4030c9affa7ed94e60c1505d,success,,15569,"2025-11-11 16:21:56"
76,G鎖-設變申請單-4.pdf,"61003b13334fd0e8613b06a46f3a9ccb",processing,,0,"2025-11-11 16:21:56"
77,G鎖-設變申請單-4.pdf,"61003b13334fd0e8613b06a46f3a9ccb",success,,21034,"2025-11-11 16:22:17"
78,G鎖-設變申請單.pdf,fd8deff426946af82c89f7866e68007d,processing,,0,"2025-11-11 16:22:17"
79,G鎖-設變申請單.pdf,fd8deff426946af82c89f7866e68007d,success,,21492,"2025-11-11 16:22:38"
80,L112001.pdf,"68450b0c4542ee7e02be8d5587eb1bd0",processing,,0,"2025-11-11 16:22:58"
81,L112001.pdf,"68450b0c4542ee7e02be8d5587eb1bd0",success,,34534,"2025-11-11 16:23:33"
82,L112002.pdf,"718711852aff1770f27b1365dd2c12eb",processing,,0,"2025-11-11 16:23:33"
83,L112002.pdf,"718711852aff1770f27b1365dd2c12eb",success,,12804,"2025-11-11 16:23:46"
84,L112003.pdf,"351abf86955748c0786d469209e74f3d",processing,,0,"2025-11-11 16:23:46"
85,L112003.pdf,"351abf86955748c0786d469209e74f3d",success,,47588,"2025-11-11 16:24:33"
86,L112004.pdf,"73227d5e672391ddea95bcb657e3d566",processing,,0,"2025-11-11 16:24:53"
87,L112004.pdf,"73227d5e672391ddea95bcb657e3d566",success,,81590,"2025-11-11 16:26:15"
